ISD91230, n:900,time:176225, packet type:7, length:30, seq:16, unkbit:1, unk:0, crc:0FB7, calccrc:0FB7, valid:1, Raw:0x5AA51E0710FF8005F02480000F258000F5248000112580003B258000B70F
ISD91230, n:901,time:176666, packet type:7, length:30, seq:17, unkbit:1, unk:0, crc:EAF3, calccrc:EAF3, valid:1, Raw:0x5AA51E0711FF8005C12480009A248000CF248000D5248000DE248000F3EA
ISD91230, n:902,time:176747, packet type:1, length:23, seq:28, unkbit:1, unk:1, crc:0A5E, calccrc:0A5E, valid:1, Raw:0x5AA517011CFF81680902001300CE510000513B00005E0A
ISD91230, n:903,time:176948, packet type:1, length:13, seq:8, unkbit:1, unk:0, crc:EA3E, calccrc:EA3E, valid:1, Raw:0x5AA50D0108FF80030003003EEA
ISD91230, n:904,time:177108, packet type:7, length:30, seq:18, unkbit:1, unk:0, crc:EBA8, calccrc:EBA8, valid:1, Raw:0x5AA51E0712FF80051725800001258000C4248000EF248000E5248000A8EB
ISD91230, n:905,time:177549, packet type:7, length:30, seq:19, unkbit:1, unk:0, crc:D907, calccrc:D907, valid:1, Raw:0x5AA51E0713FF80050B2580001F2580000C2580004B2580003725800007D9
ISD91230, n:906,time:177730, packet type:1, length:23, seq:29, unkbit:1, unk:1, crc:217E, calccrc:217E, valid:1, Raw:0x5AA517011DFF81680902001300B65100007F3B00007E21
ISD91230, n:907,time:177932, packet type:1, length:13, seq:9, unkbit:1, unk:0, crc:525F, calccrc:525F, valid:1, Raw:0x5AA50D0109FF80030003005F52
ISD91230, n:908,time:177992, packet type:7, length:30, seq:20, unkbit:1, unk:0, crc:A792, calccrc:A792, valid:1, Raw:0x5AA51E0714FF80050325800011258000B6248000EE238000C822800092A7
ISD91230, n:909,time:178433, packet type:7, length:30, seq:21, unkbit:1, unk:0, crc:D9A0, calccrc:D9A0, valid:1, Raw:0x5AA51E0715FF8005FE228000DD238000292480008224800036248000A0D9
ISD91230, n:910,time:178734, packet type:1, length:23, seq:30, unkbit:1, unk:1, crc:20F8, calccrc:20F8, valid:1, Raw:0x5AA517011EFF81680902001800CF510000623B0000F820
ISD91230, n:911,time:178794, packet type:1, length:13, seq:10, unkbit:1, unk:32, crc:9ABD, calccrc:9ABD, valid:1, Raw:0x5AA50D010AFFA013001300BD9A
ISD91230, n:912,time:178795, packet type:1, length:23, seq:31, unkbit:1, unk:1, crc:CB9E, calccrc:CB9E, valid:1, Raw:0x5AA517011FFF81680902001300CF510000623B00009ECB
